Send Order,Contact Type,Who to Contact,Phone,Email / Website,Communities Covered (all reached with ONE outreach),Total Homes Reached (est.),Action,Notes / Watch Out For
11,MGMT CO,CAMS,(877) 672-2267,email@camsmgt.com,"Multi-county Greenville/Spartanburg/Pickens communities (specific list not public)",Unknown,Email email@camsmgt.com then call,"10 Patewood Dr, Bldg 6 Ste 270, Greenville SC 29615."
12,MGMT CO,ACMS (Association Consulting & Management Services),(864) 760-9861,acmssc.com,"Anderson, Pickens, Laurens, Oconee, Greenville communities",Unknown,Call then email via acmssc.com,"2404B Anderson Hwy, Williamston SC 29697. Good for Pickens County coverage."
13,MGMT CO,Red Rock Management,(864) 584-7228,gowithredrock.com,"Greenville and Pickens County communities (Liberty, Central, Clemson area)",Unknown,Call then email via website,"141 Traction St #101, Greenville SC 29611. Also: (888) 757-3376. Good for Pickens County."
14,MGMT CO,Blue Bridge Management (BBM Group),,bbmgvl.com,"Greenville, Spartanburg, Pickens, Anderson, Laurens communities",Unknown,Contact via bbmgvl.com,"Find direct contact on website before reaching out."
15,MGMT CO,Town & Country Property Management,,townandcountrypropertymgmt.appfolio.com,"Morning Mist (Simpsonville) — possibly other communities",200+,Contact via portal/website,"⚠️ Morning Mist is ALSO listed under CMP (contact #6 above). Confirm with CMP first. If CMP manages Morning Mist, skip Town & Country for that community. Contact Town & Country only if CMP does NOT manage it."
16,MGMT CO,PMI Upstate SC (Greenville Property Management Inc.),(864) 326-0018,greenvillepropertymanagementinc.com,Greenville-area communities (specific list not public),Unknown,Call then email via website,Lower priority. Contact after Tier 1 companies.
,,,,,,,,
,SELF-MANAGED — contact board directly (no mgmt company),,,,,,,
17,HOA BOARD,River Walk HOA Board,,thisisriverwalk.com,"River Walk (Simpsonville, 440 homes)",440,Contact via thisisriverwalk.com,"Self-managed since 1987. Active HOA. Board accessible via website."
18,HOA BOARD,Sugar Creek HOA (shared inbox),N/A,info@sugarcreekhome.org,"Sugar Creek SC1 + SC2 + SC3 (Greer, 810 homes total) — 3 separate HOAs but shared contact",810,Email info@sugarcreekhome.org,"⚠️ Sugar Creek has 3 separate HOAs. Send ONE email to the shared inbox. Do NOT send 3 separate emails. If they want to be treated individually, they'll tell you."
19,HOA BOARD,Canebrake HOA Board,(864) 520-5090,canebrakehoa.org,"Canebrake (Greer, 338 homes)",338,Call (864) 520-5090 then follow up via canebrakehoa.org,"Very accessible board. Active Facebook group. Direct phone available."
20,HOA BOARD,River Downs HOA — Doug Imes (President),(864) 906-5782,dougimes@yahoo.com,"River Downs Sections 1 & 2 (Greer, 200+ homes)",200,Email dougimes@yahoo.com or call,"VP also reachable: Leslie Blackwell — lablackwell7@gmail.com. Go to president first."
21,HOA BOARD,Woodridge HOA Board,,hoawoodridge.org,"Woodridge (Spartanburg, 400+ homes)",400,Contact via hoawoodridge.org,"Self-managed. Board meets annually in January. Active HOA."
22,HOA BOARD,Pebble Creek Phase 1 HOA Board,,pebblecreek1.com / Facebook: Pebble Creek HOA Phase 1,"Pebble Creek Phase 1 (Taylors, 1000+ homes across all phases)",1000+,Contact via pebblecreek1.com,"Large golf community. Multiple phases each have own HOA — Phase 1 is the most accessible starting point. Do NOT contact each phase separately without checking if there's an umbrella contact."
23,HOA BOARD,Ravenwood HOA Board,,ravenwoodhoa.com/contact,"Ravenwood (Boiling Springs, 200+)",200,Contact via ravenwoodhoa.com,"95% homeowner rate per Nextdoor. Very engaged community."
24,HOA BOARD,Silverleaf HOA Board,,silverleafgreer.com,"Silverleaf (Greer, 200+)",200,Contact via silverleafgreer.com,Active HOA website. Board accessible.
25,HOA BOARD,Foxwood HOA Board,(864) 277-4507,foxwoodcommunity.com/contact-the-board,"Foxwood (Simpsonville, 300+)",300,"Contact via website board form, or call (864) 277-4507","⚠️ Management changed in 2018. Verify current management company before calling (864) 277-4507 — that may be the old mgmt co number. Go to the board form on the website to be safe."
26,HOA BOARD,Glenlake HOA Inc. Board,,glenlake-hoa.org/contact-us,"Glenlake HOA Inc. (Boiling Springs)",Unknown,Contact via glenlake-hoa.org/contact-us,"⚠️ May or may not be the same as Glenlake (Glen Lake) in contact #1 (Hinson Management). Verify before reaching out — you may have already reached them through Hinson."
,,,,,,,,
,DEVELOPER-MANAGED — contact the developer,,,,,,,
27,DEVELOPER,TRG Communities (O'Neal Village developer),(864) 720-8282,onealvillage.com / trgcommunities.com,"O'Neal Village (Greer, 500+ homes planned — D.R. Horton + Toll Brothers + Lennar active)",500+,Call (864) 720-8282,"Growing master-planned community. Contact developer since HOA is developer-managed. Good opportunity while community is actively building."
28,DEVELOPER,Hartness Development,,hartnessliving.com / (864) 920-0375,"Hartness (Greenville, 300+ planned luxury estate homes)",300+,Call (864) 920-0375 or contact via hartnessliving.com,"Luxury tier only ($700K–$2M homes). Buyers here are excellent BPP candidates. Kelly Edwards is a confirmed contact: (864) 626-0618."
29,BUILDER + HOA,D.R. Horton — Greenville Division,(864) 757-9930,drhorton.com,"AS BUILDER: Savannah Pointe, Rose Hill, Paddock Point + 27 other communities. AS HOA MGMT: Baxter Village (550 planned) and Pine Valley (200+ planned) in Boiling Springs",Combined 1000s,ONE call/email covers both builder referral pitch AND developer-managed HOAs,"⚠️ D.R. Horton appears in BOTH the builder list AND the HOA list. Send ONE outreach that covers both angles: (1) referral program for new home buyers and (2) sharing BPP info with their Baxter Village and Pine Valley HOA residents. 100 Verdae Blvd, Greenville SC 29607."
,,,,,,,,
,SKIP FOR NOW — management unknown (research before contacting),,,,,,,
,SKIP,Cobblestone (Simpsonville),,,Luxury gated — 149 homes. Management unknown.,149,Research management company first,"Check HOA-USA.com or SC SOS before contacting."
,SKIP,Kilgore Farms (Simpsonville),,,400+ homes. Management unknown.,400+,Research management company first,May be managed by Cedar or CDJ — confirm first so you don't duplicate.
,SKIP,Gilder Creek Farm (Simpsonville),,,500+ homes. Management unknown.,500+,Research management company first,Large community — worth finding the manager before outreach.
,SKIP,Windsor Forest (Simpsonville),,,600+ homes in 4 sections. Management unknown.,600+,Research management company first,Large — very worth finding manager.
,SKIP,Neely Farms (Simpsonville),,,400+ homes. Management unknown.,400+,Research management company first,Active HOA — find manager.
,SKIP,Planters Row (Mauldin),,,500+ homes in 5 sections. Management unknown.,500+,Research management company first,Large Mauldin community.
,SKIP,Hollingsworth Park (Greenville),,,300+ homes. Management unknown.,300+,Research management company first,In-town Greenville — desirable community.
,SKIP,Chanticleer (Greenville),,,200+ homes. Management unknown.,200+,Research management company first,Luxury gated. Worth finding.
,SKIP,Holly Tree Plantation (Greenville),,,400+ homes (golf). Management unknown.,400+,Research management company first,Golf community.
,SKIP,Blue Ridge Plantation (Taylors),,,500+ homes. Management unknown.,500+,Research management company first,Large Taylors community.
,SKIP,Gresham Woods / Kingsbridge / Verdmont (all Simpsonville — if not Cedar),,,"Multiple Simpsonville communities, management unknown",Varies,Confirm with Cedar Management if they manage these,Cedar likely manages some of these — confirm in your Cedar call so you don't reach out separately.
,SKIP,"Easley/Pickens communities (Hamilton Park, Forest Park, Walnut Grove, Brushy Creek)",,,4 Easley communities — management unknown.,650+,Research via ACMS or Red Rock first,"ACMS (contact #12) and Red Rock (contact #13) are the most likely managers for Pickens County communities. Ask them in your call."
,SKIP,"Fountain Inn communities (Woodgreen, Fountainbrook, Southbrook, Durbin Meadows)",,,4 Fountain Inn communities — management unknown.,750+,Research management first,May be managed by HOAupstate or CMP. Ask in your calls.
