Record Type,Name,County,City / Area,Mgmt Company,Mgmt Phone,Mgmt Email / Website,HOA Board Contact,HOA Board Phone / Email,Approx Homes,Community Type,Outreach Notes
COMMUNITY — HIGH,Orchard Farms,Greenville,Simpsonville,CDJ Property Management,(864) 242-4466 or (864) 297-4496,cdjpropertymanagement.com,Board (via orchardfarmshoa.com),orchardfarmshoa.com,(400+ in 3 sections),Single-family subdivision,"3 sections: Arbor Walk, Baker's Garden, Carriage Place. Pool, tennis, basketball, playground, fitness center, volleyball. Active swim team (Gators). Active Nextdoor. Great community for outreach."
COMMUNITY — HIGH,Sugar Creek,Greenville,Greer,Self-managed (3 separate HOAs),N/A,sugarcreekhome.org / sugarcreekinfo.org,"Separate boards for SC1, SC2, SC3",info@sugarcreekhome.org / sugarcreekinfo.org/hoa-boards,810 (3 HOA sections),Single-family subdivision (3 HOAs),"810 total homes. One of the largest communities in Greer. Construction mid-1970s–1990s. Each HOA has own pool, clubhouse, tennis. Lots 0.4–0.5 acre. Contact all 3 board sections."
COMMUNITY — HIGH,Canebrake,Greenville,Greer,Self-managed (HOA Board),(864) 520-5090,canebrakehoa.org,Board (via canebrakehoa.org),canebrakehoa.org,338,Single-family subdivision,"Pool, tennis, basketball, clubhouse, playground, lake. 302 Saratoga Dr, Greer SC 29650. Active Facebook group. Board accessible via website — warm contact."
COMMUNITY — HIGH,Pelham Falls,Greenville,Greer (eastern Greenville County),CDJ Property Management,(864) 678-5345,tallen@cdanjoyner.com / pelhamfalls.com,Therese Allen (CDJ),tallen@cdanjoyner.com,(300+),Single-family subdivision,"2 pools, tennis court, walking path along Enoree River. Riverside school district. Active HOA portal. Direct contact available."
COMMUNITY — HIGH,River Downs,Greenville,Greer,Self-managed (River Downs Homes Association Inc.),(864) 906-5782 (President),riverdownsgreer.org,Doug Imes (President),dougimes@yahoo.com / (864) 906-5782,(200+ / 2 sections),Single-family subdivision,"Board contact available. VP: Leslie Blackwell — lablackwell7@gmail.com. Very accessible — go direct to board president."
COMMUNITY — HIGH,Woodridge,Spartanburg,Spartanburg (west side),Self-managed (HOA Board),Via hoawoodridge.org,hoawoodridge.org,Board (annual meeting in January),hoawoodridge.org,(400+),Single-family subdivision,"HOA fee $35/month. Private park, playground, covered picnic shelter. Vibrant diverse neighborhood. Price range $115K–$800K. Board accessible via website."
COMMUNITY — HIGH,Glenlake (Glen Lake),Spartanburg,Boiling Springs,Hinson Management Inc.,(864) 599-9019,,Tanner Humphries (Hinson Management),(864) 599-9019 / scglenlake.com / closing@scglenlake.com,(300+ mixed homes),Gated (single-family, patio homes, townhomes),"Gated community. Diverse mix of home types. Short distance from downtown Spartanburg. Active HOA website."
COMMUNITY — HIGH,Pebble Creek (Phase 1 + multiple phases),Greenville,Taylors,Self-managed (Phase 1 HOA),Via pebblecreek1.com,pebblecreek1.com,Board (via website),pebblecreek1.com / Facebook: Pebble Creek HOA Phase 1,(1000+ multi-phase golf community),Single-family golf community (multiple HOA phases),"Premier golf community. 10 min from downtown Greenville. Multiple phases each with own HOA. Very large base — multiple outreach opportunities."
COMMUNITY — HIGH,O'Neal Village,Greenville,Greer (Blue Ridge / Hwy 101),TRG Communities (developer-managed),(864) 720-8282,,onealvillage.com,trgcommunities.com,(500+ planned; D.R. Horton + Toll Brothers + Lennar),Master-planned mixed-use (single-family, townhomes),"HOA fee $600/yr. Pool, town square, basketball, dog park, amphitheater. Growing community — Blue Ridge school district. Active builders in community."
COMMUNITY — HIGH,Ravenwood,Spartanburg,Boiling Springs,Self-managed (HOA Board),Via ravenwoodhoa.com,ravenwoodhoa.com,Board (via website),ravenwoodhoa.com,(200+; ~95% homeowner rate per Nextdoor),Single-family subdivision (established),"Mature tree-lined, larger lots, custom homes, quiet/peaceful. Active Nextdoor."
COMMUNITY — MEDIUM,Verdmont,Greenville,Simpsonville,Cedar Management Group,(864) 469-4937 / HOA direct: (864) 967-8210,sales@mycmg.com,,19 Valcourt Circle, Simpsonville SC 29680,(300+),Single-family subdivision,"Large central park, pocket parks, orchard, farmer's market. Near I-385."
COMMUNITY — MEDIUM,Stonehaven (Section 1),Greenville,Simpsonville (Woodruff Road),CDJ Property Management,(864) 242-4466,cdjpropertymanagement.com/hoas/stonehaven-1,,,134 (Stonehaven 1; multiple sections),Single-family subdivision (upscale),"$400K–$700K homes. Brick and stone exteriors. Woodruff Road corridor. Multiple sections exist."
COMMUNITY — MEDIUM,Cobblestone,Greenville,Simpsonville (Roper Mountain Rd),Unknown,,,,,(149),Gated single-family (luxury),"European-inspired estates 4,200–6,000 sq ft. Resort-style pool, tennis, clubhouse. Gated. ARC active. Luxury buyer profile."
COMMUNITY — MEDIUM,Kilgore Farms,Greenville,Simpsonville (Five Forks / Woodruff Rd),Unknown,,,,,(400+),Single-family subdivision,"Pool, sidewalks, playground, cabana, 8 acres wooded Peters Creek. Very active neighborhood."
COMMUNITY — MEDIUM,Gilder Creek Farm,Greenville,Simpsonville,Unknown,,,,,(500+ in 3 sections),Single-family subdivision,"64 acres green space along Gilder Creek. HOA fee ~$38/month. Good value point. Active community."
COMMUNITY — MEDIUM,Windsor Forest,Greenville,Simpsonville,Unknown,,,,,(600+ in 4 sections),Single-family (multiple price tiers),"4 sections: Windsor Forest, Windsor Forest Estates, Trails at Windsor Forest, Village at Windsor Forest. Adams Mill/Scuffletown Rd area."
COMMUNITY — MEDIUM,Neely Farms,Greenville,Simpsonville,Unknown,,,,,(400+),Single-family subdivision,"Pool, tennis, trails, clubhouse. Annual community events including Halloween parade. Very active HOA."
COMMUNITY — MEDIUM,Morning Mist,Greenville,Simpsonville / Fountain Inn,Town & Country Property Management,Via portal,morningmist@hoapartner.com / morningmisthoa.com,Board (via portal),,,(200+),Single-family subdivision,"Junior Olympic pool, baby pool, rec building with fireplace. Near Fairview Road corridor."
COMMUNITY — MEDIUM,Foxwood,Greenville,Simpsonville,HOA Management of SC (verify current),(864) 277-4507,foxwoodcommunity.com,Board,foxwoodcommunity.com/contact-the-board,(300+),Single-family subdivision,"Active HOA website and Nextdoor. Management changed in 2018 — verify current company. Direct board contact available."
COMMUNITY — MEDIUM,Planters Row,Greenville,Mauldin,Unknown,,,,,(500+ in 5 neighborhoods),Single-family (multi-section),"5 neighborhoods: Orchard, Preserve, Grove, Vineyard, Autumn Ridge. Pool, playground, soccer, tennis. Development began 1990s–2010s."
COMMUNITY — MEDIUM,Shelburne Farms,Greenville,Greer,Community Management Partners (CMP),(864) 568-5800,,hoapartner.com,,(200+),Single-family subdivision,"HOA dues via CMP. Active Nextdoor."
COMMUNITY — MEDIUM,Silver Ridge,Greenville,Greer,CDJ Property Management,(864) 242-4466,cdjpropertymanagement.com,,,134,Single-family subdivision,Managed by CDJ. Greer area.
COMMUNITY — MEDIUM,Blue Ridge Plantation,Greenville,Taylors,Unknown,,,,,(500+ multiple sub-sections),Single-family (multiple sections),"Includes Lakeside, Seven Oaks, Meadow at Blue Ridge sections. Some newer construction active."
COMMUNITY — MEDIUM,Silverleaf,Greenville,Greer,Self-managed,Via silverleafgreer.com,silverleafgreer.com,Board (via website),silverleafgreer.com,(200+),Single-family subdivision,"Off Old Spartanburg Rd. Formerly dairy farm land. Active HOA website. Convenient to shopping/restaurants."
COMMUNITY — MEDIUM,Hartness,Greenville,Greenville,Hartness (developer-managed),Via hartnessliving.com,hartnessliving.com,,hartnessliving.com,(300+ planned),Master-planned single-family (luxury / estate),"Upscale newer development. Limited estate-sized homesites. Luxury buyer profile. Growing community. 2000 Society St Suite 102, Greenville SC 29615."
COMMUNITY — MEDIUM,Parkins Mill Village,Greenville,Greenville (in-town),AMG (Association Management Group),(864) 967-3564,,amgworld.com/greenville,,(200+),Single-family subdivision (in-town),"Annual HOA ~$300. Between Augusta Rd, Gower Estates, and Laurens Rd. Desirable in-town location."
COMMUNITY — MEDIUM,Hollingsworth Park,Greenville,Greenville (in-town),Unknown,,,,,(300+),New urbanist / walkable planned community,"Former Hollingsworth land. Charleston-style architecture. Walkable. Shops built in. HOA active. Parks throughout. Desirable in-town."
COMMUNITY — MEDIUM,Chanticleer,Greenville,Greenville (near downtown),Unknown,,,,,(200+),Gated single-family (estate-level),"Prestigious gated community. Rolling wooded hills. Minutes from downtown Greenville. Mature landscaping. ARC active. Luxury buyer profile."
COMMUNITY — MEDIUM,Holly Tree Plantation,Greenville,Greenville,Unknown,,,,,(400+),Single-family (golf),"Golf community. Listed among notable Greenville luxury subdivisions."
COMMUNITY — MEDIUM,Baxter Village,Spartanburg,Boiling Springs,D.R. Horton (developer-managed; transitioning to HOA),,,,,550 planned,Single-family (new construction),"~167 acres. Clubhouse, pool, playground, pickleball, volleyball. 3–5 bed homes. Shoally Creek Elem / Boiling Springs High. Large new development — HOA forming now is perfect timing."
COMMUNITY — MEDIUM,Bennington Farms,Spartanburg,Boiling Springs / Spartanburg,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Single-family subdivision,Light PM portfolio. Call Light PM to reach board.
COMMUNITY — MEDIUM,The Gardens at Timm Creek,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family / townhome,Light PM portfolio.
COMMUNITY — MEDIUM,Glenn Forest,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Berry's Pond,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Glenn Harbour,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Single-family / townhome,Light PM portfolio.
COMMUNITY — MEDIUM,Village at Creekside,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Single-family / townhome,Light PM portfolio.
COMMUNITY — MEDIUM,Lancaster Farms,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Wedgewood Townes,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Townhome,Light PM portfolio.
COMMUNITY — MEDIUM,Cambridge,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Montgomery Lake,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Lake community,Light PM portfolio.
COMMUNITY — MEDIUM,Woodlands at Autumn Glen,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Clairmont Estates,Spartanburg,Boiling Springs,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio. Also listed in Boiling Springs subdivision directory.
COMMUNITY — MEDIUM,Riveredge,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,The Reserve at Woodfin Ridge,Spartanburg,Inman (Spartanburg County),Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Single-family (golf community adjacent),"Woodfin Ridge Golf Club area. Golf community demographics are strong BPP profile."
COMMUNITY — MEDIUM,Converse Place,Spartanburg,Spartanburg,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Condo / townhome (likely),Light PM portfolio.
COMMUNITY — MEDIUM,Rolling Rivers,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Stone Creek Falls,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Stonewood Crossing,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Gentry Place,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Glen Meadows (Inman),Spartanburg,Inman,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Upper Beaver Creek,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Creekside / The Oaks at Rock Springs,Spartanburg,Spartanburg,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio. Rock Springs area.
COMMUNITY — MEDIUM,Shady Grove Hills,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Woodburn Club,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Unknown,Light PM portfolio.
COMMUNITY — MEDIUM,Dunnsmore,Spartanburg,Spartanburg area,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Single-family subdivision,Light PM portfolio.
COMMUNITY — MEDIUM,Spartan Exchange Village,Spartanburg,Spartanburg,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,  ,Unknown,Light PM portfolio.
COMMUNITY — MEDIUM,Brick Street Lofts,Spartanburg,Spartanburg,Light Property Management,(864) 585-2525,lightpropertymanagement.com,,,,Condo / loft (urban),Light PM portfolio. Urban demographic.
COMMUNITY — MEDIUM,The Ravines at Woodridge,Spartanburg,Spartanburg (west side),Epcon Communities (developed; verify current),,,,,68,Attached homes / condos (55+),"55+ community. HOA covers all landscaping + exterior. Clubhouse, library, exercise room, pool. ~$295K avg home. Older demographic — strong generator candidate profile."
COMMUNITY — LOW,Gresham Woods,Greenville,Simpsonville (Five Forks / Woodruff Rd),Unknown,,,,,(300+),Single-family subdivision,"Pool, street lights, common areas. Mature trees. Cul-de-sac streets."
COMMUNITY — LOW,Kingsbridge,Greenville,Simpsonville (Five Forks),Unknown,,,,,(300+),Single-family (upscale),"Near Five Forks. Custom-built homes on large lots. Luxury price tier."
COMMUNITY — LOW,Freeman Park,Greenville,Taylors,Unknown,,,,,(200+),Townhome,"Modern low-maintenance townhomes. Newer construction."
COMMUNITY — LOW,Silver Meadows,Greenville,Taylors,Unknown,,,,,(150+),Single-family subdivision,"Highly desirable. Custom-built architecturally refined homes."
COMMUNITY — LOW,Woodgreen,Greenville,Fountain Inn,Unknown,,,,,(200+),Single-family subdivision,"Off Wilson Bridge/Fairview Rd. Half-acre lots. Traditional 2-story homes. Preserved natural beauty."
COMMUNITY — LOW,Fountainbrook,Greenville,Fountain Inn,Unknown,,,,,(200+),Single-family subdivision (newer),"Off Durbin Rd. 1-2 story traditional homes. High $200s–$300s. 5 min to I-385."
COMMUNITY — LOW,Southbrook,Greenville,Fountain Inn,Unknown,,,,,(150+),Single-family subdivision,"Borders a stream. Some wooded views. Traditional 2-story homes."
COMMUNITY — LOW,Durbin Meadows,Greenville,Fountain Inn,Unknown,,,,,(200+),Single-family (newer construction),"Fountain Inn growth corridor. Newer development."
COMMUNITY — LOW,Hamilton Park,Pickens,Easley,Unknown,,nextdoor.com/neighborhood/hamiltonpk--easley--sc (active Nextdoor),,,(200+),Single-family subdivision,"'Sought after' Easley neighborhood. Active Nextdoor community."
COMMUNITY — LOW,Forest Park (Easley),Pickens,Easley,Unknown,,,,,(150+),Single-family subdivision,"Traditional-style homes on larger lots with mature landscaping."
COMMUNITY — LOW,Walnut Grove,Pickens,Easley,Unknown,,,,,(100+),Single-family (luxury),"'Refined craftsmanship and thoughtful luxury.' In-town Easley."
COMMUNITY — LOW,Brushy Creek Estates,Pickens,Easley,Unknown,,,,,(150+),Single-family subdivision,"Median home ~$340K. Established neighborhood."
COMMUNITY — LOW,Brushy Creek Townes,Pickens,Easley,Unknown,,,,,(100+),Townhome,Listed in Easley subdivision directory.
COMMUNITY — LOW,Rock Springs HOA,Spartanburg,Boiling Springs,Unknown,,mystatemls.com listing,,,,Single-family subdivision,Listed in public HOA directory. Boiling Springs/Spartanburg area.
COMMUNITY — LOW,Pine Valley,Spartanburg,Boiling Springs,D.R. Horton (developer-managed),,,,,200+ planned,Single-family (new construction),"D.R. Horton community. HOA still establishing."
COMMUNITY — LOW,Glenlake HOA Inc. (separate),Spartanburg,Boiling Springs,Unknown,,glenlake-hoa.org,Board (via website),glenlake-hoa.org/contact-us,  ,Single-family subdivision,"Independent website. Potentially different from Glenlake/Glen Lake above — verify. Board contact accessible."
COMMUNITY — LOW,Hidden Creek Townhomes,Spartanburg,Boiling Springs,Unknown,,,,,(100+),Townhome,"HOA covers pool, street lights, lawn service, exterior maintenance. Near I-26/I-85/Hwy 176."
REFERENCE,Greenville County Register of Deeds,Greenville,All Greenville County,,,,,,,"Reference resource","greenvillecounty.org. Search HOA declarations and covenants. Use to find board contact info for any subdivision with unknown management."
REFERENCE,SC Secretary of State HOA Search,Statewide,Statewide,,,sos.sc.gov,,,,Reference resource,Search registered HOA entities by name. Returns registered agent and board contacts for any SC HOA corporation.
REFERENCE,HOA-USA.com SC Directory,Statewide,Statewide,,,hoa-usa.com/state/sc/greenville,,,,Reference resource,Lists SC HOAs with management company names. Use to fill in 'Unknown' management entries above.
REFERENCE,CAI Carolinas Chapter,Multi-county,Regional,,,cai-carolinas.org,,,,Reference resource,Community Associations Institute — Carolinas Chapter. Directory of HOA management companies in the region. Good for finding PM contacts.
REFERENCE,Expert Real Estate Team — Subdivision Lists,Multi-county,Simpsonville / Boiling Springs,,,expertrealestateteam.com,,,,Reference resource,"Lists 250+ subdivisions in Simpsonville and 80+ in Boiling Springs. Good for identifying additional communities to research."
