Priority,Company Name,County / Area,Builder Type,Active Communities (Upstate SC),Price Range,Main Office Phone,Office Address,Website,Key Contact Name,Key Contact Title,Key Contact Email / Notes,Homes / Year (est.),Outreach Notes
MEDIUM,Toll Brothers,Greenville,Luxury Production,"Hudson Pointe (Greenville 29615, 27 homes, Mid $700s–High $900s), Wrenfield (Greenville — final phase)",$700K–$1M+,(843) 388-8483; Sales (866) 232-1719,"124 Verdae Blvd, Greenville SC (Sales Center)",tollbrothers.com,Katie W.; Stacey K.,Hudson Pointe Sales Agents,Via tollbrothers.com/contact/sales-inquiries,~50 homes/yr locally,Luxury segment only. Buyers here are prime BPP prospects — high income and value preparedness. Near Patewood Medical Campus / Pelham/Haywood area.
MEDIUM,McGuinn Homes,Spartanburg,Semi-Custom / Production,"Anderson Village (Spartanburg), Wofford Village (Spartanburg), Pacific Place (Lyman), Hazelwood (Boiling Springs)",~$200K–$350K,(803) 917-5583 (corporate),Spartanburg Division,mcguinnhomes.com,Sales Team,Spartanburg Division,Via mcguinnhomes.com/contact-us,Large SC builder,Claims to be #1 private homebuilder in SC. 2025 State's Best Builder award. 4 new Spartanburg communities in 2025.
MEDIUM,Trust Homes,Greenville (Greer / Fountain Inn / Piedmont),Production,"Branchwood (Greer), Fountain Inn community (100 Alyssa Landing Dr), Piedmont community (100 Meadowview Rd)",~$220K–$350K,(888) 988-3954 (Greer); (888) 557-0823 (Fountain Inn),By community,trustnewhomes.com,Sales Office,,Via trustnewhomes.com,Mid-size regional,60+ years combined experience. Affordable entry-level. Active in Greer/Fountain Inn corridor — high-growth area.
MEDIUM,Rosewood Communities,Greenville (Greer / Mauldin / Seneca),Semi-Custom,"Riley Trace (Greenville, $573K–$670K), communities in Greer and Mauldin",~$400K–$700K,(864) 430-8646,"109D Regency Commons Dr, Greer SC 29651",rosewoodcommunities.com,Sales Office,,Via rosewoodcommunities.com,Small-medium local,Craftsman Style focus. Quality reputation in mid-to-upper price range. Popular in south Greenville/Greer.
MEDIUM,Hunter Quinn Homes,Greenville (Greenville / Taylors / Greer),Semi-Custom,"Eagle Creek (Greenville, ~$387K), 16 Quick Move-In homes active",~$380K–$600K,(843) 277-6226,"745 Wade Hampton Blvd, Greenville SC 29650",hunterquinnhomes.com,Sales Team,Greenville Division,Via hunterquinnhomes.com,Mid-size regional,3x 'Fastest Growing Companies in SC.' 2020 Builder of Choice Award. 5x Inc. 5000 list.
MEDIUM,Pinestone Builders,Greenville (Travelers Rest / Greer),Semi-Custom (boutique volume),"Echo Grove (Travelers Rest, 22 homes, $600s), O'Neal Village (Greer townhomes), Aster (Greenville, 10 homes), Morton Farms (Pendleton)",Low $300s–$700K+,Via website,,pinestonebuilders.com,Sales Team,,Via pinestonebuilders.com/contact-us,Boutique — 20+ yrs in Upstate,Travelers Rest and Greer focus. Near Swamp Rabbit Trail / Paris Mountain. Higher income demographic. Good luxury referral partner.
MEDIUM,Crown Communities (D.R. Horton subsidiary),Greenville (Simpsonville),Production / Volume,"Morning Mist (Simpsonville), Tuscany Falls (Simpsonville), 10+ neighborhoods in Greenville County",From the $200s,(864) 334-6461; (864) 292-3333,,crownus.com,Sales Office,,Via CrownUs.com,Top-5 Upstate builder,D.R. Horton company. Founded 1978. 50+ floor plans. Resort-style communities. Military First Program. 12+ step inspection process.
MEDIUM,Cobblestone Homes,Greenville (Greer / Taylors / Simpsonville / Duncan),Custom / Semi-Custom,"Silver Meadows (Greenville), Hunter's Landing and Woodlands (Greer), build-on-lot throughout Greenville County",~$400K–$700K,(864) 655-5160,"955 W Wade Hampton Blvd, Ste 11B, Greer SC 29650",cobblestonehomes.co,Tomas Nyblom,Founder,Via cobblestonehomes.co,Boutique custom (est. 2012),Modern timeless aesthetic. Serves Duncan, Five Forks, Greenville, Greer, Inman, Lyman, Taylors, Simpsonville. Both subdivision lots and build-on-lot.
MEDIUM,VC Custom Homes (Vicars Construction),Pickens / Greenville / Spartanburg / Anderson / Laurens,Custom,Custom builds and spec homes throughout Upstate SC,~$300K–$700K,(864) 220-9840,"223 Siloam Rd, Ste A, Easley SC 29642",vccustomhomes.com,Owner,Family-owned,Via vccustomhomes.com/contact,Small-medium; 25+ yrs,Easley-based. Covers all 5 Upstate counties. Custom + spec homes. 25+ years experience. Pickens County focus valuable for BPP service area.
MEDIUM,Strong Builders LLC,Pickens / Greenville / Oconee / Anderson,Custom Luxury,Custom builds in Easley and 40-mile radius,~$150–$200/sqft custom,(864) 868-2811,"6314 Calhoun Memorial Hwy, Suite A, Easley SC 29640",strongbuildersllc.net,Owner,,Via strongbuildersllc.net/contact-us,Small custom; est. 2006,Multiple Pinnacle Award winner. HBA of Greenville member. Stays within 40-mile radius of Easley office. Higher-end custom work. Good Pickens County referral partner.
MEDIUM,Boerner Construction Inc.,Greenville / Pickens / Spartanburg / Anderson / Oconee,Custom,Custom builds on Lake Hartwell, Lake Keowee, Pendleton, Seneca, Anderson, Greenville, Spartanburg,Varies,(864) 642-7502 (Kyle Boerner),,boernerconstruction.com,Kyle Boerner,SC Licensed Residential Builder,klboerner@gmail.com; tomboerner@bellsouth.net,Small family custom; est. 1991,Father-son family business. Lake Keowee and Lake Hartwell focus — affluent buyer demographic. Very relationship-driven.
MEDIUM,Avery Construction LLC,Spartanburg / Greenville / Laurens / Cherokee,Custom,"Beacon Hill (Spartanburg County exclusive), Newman Estates (Spartanburg County exclusive), custom lots",~$300K–$600K,(864) 809-7832,"211 New Castle Drive, Duncan SC 29334",averyconstructionllc.com,Timothy A. Snow,Owner / Master Builder,Via averyconstructionllc.com,Small boutique custom (est. ~2003),Certified Master Builder (2008). 2007 Pinnacle Award winner (HBASC highest distinction). 60% golf/private community lots; 40% own exclusive communities.
MEDIUM,CVS Builders LLC,Spartanburg (Reidville / Greer / Lyman area),Custom / Semi-Custom,Custom builds throughout Spartanburg County,~$250K–$500K,(864) 809-2818,PO Box 27, Reidville SC 29375,Check BuildZoom,Calvin Snow,Owner,Via phone,Small custom; 30+ yrs,Calvin Snow is HBASC Hall of Fame and 2x Spartanburg Builder of the Year. Former VP of HBA of Greater Spartanburg. Highly networked. Very warm referral.
HIGH,Gabriel Builders Inc.,Greenville / Pickens (Lake Keowee / The Cliffs / Travelers Rest),Custom Luxury,The Cliffs Communities (preferred builder since 1990s); The Reserve at Lake Keowee; Travelers Rest custom lots,$800K–$3M+,(864) 879-3035,"641 Garden Market Dr, Suite A, Travelers Rest SC 29690",gabrielbuilders.com,Showroom / Design Team,,Via gabrielbuilders.com,Boutique luxury; est. 1984,NAHB National Custom Home Builder of the Year. 40+ years in Upstate SC. Design + Build + Interiors (turnkey). Builds in Asheville, Highlands, Cashiers, Lake Keowee. Highly affluent buyers — perfect BPP profile.
HIGH,Fairview Custom Homes,Pickens / Greenville (The Cliffs / The Reserve / Travelers Rest),Custom Luxury,The Cliffs Communities; The Reserve at Lake Keowee; Greenville County custom lots,$700K–$2M+,(864) 836-1133,"3598 Highway 11, Suite 104, Travelers Rest SC 29690",fairviewllc.com,Chris & Drew (second generation),Owners,Via fairviewllc.com/contact,Small luxury custom; multi-gen,Multi-generation family builder. Architecture + interior design + building (one-stop). Multiple HBASC Pinnacle Award winners. One of top builders at The Cliffs.
MEDIUM,AR Homes / American Eagle Builders,Pickens (Lake Keowee / The Cliffs at Keowee Springs),Custom Luxury (fixed-price franchise),"The Cliffs at Keowee Springs (Six Mile, model home open), The Landing at Keowee Springs",$800K–$2M+,Via model home or website,"Model: 195 Spring Cove Way, Six Mile SC 29682; Design Studio: downtown Greenville",americaneaglebuilders.arhomes.com,Local AR Homes Team,,Via arcarolinas.com/upstate-sc,Boutique luxury; franchise,Only Arthur Rutenberg franchise in Upstate SC. Fixed-price model (price at contract = price at close). New model home 'The Palmetto' open. Two model homes staffed.
MEDIUM,Meritus Signature Homes,Pickens / Oconee (The Cliffs Communities),Custom Luxury (fixed-price),"The Cliffs Communities (preferred builder since 2005), Oconee County, Anderson",$700K–$2M+,(800) 701-1717; (864) 261-7699 (Oconee/Pickens),Anderson SC Design Center,meritushomes.com,Sales / Design Consultants,,Via meritushomes.com,Boutique luxury; est. 2005,Only Upstate builder with both Southern Living Custom Builder recognition AND 100% Energy Star Certified homes. Fixed-price model. Preferred Cliffs builder since 2005.
MEDIUM,Dillard-Jones Builders,Greenville / Pickens (Hartness / Lake Keowee / The Cliffs),Custom Luxury,"Hartness (Greenville), The Cliffs at Six Mile (Pickens County), Lake Keowee area",$800K–$3M+,(864) 527-0463; Tom Dillard direct: (864) 444-4077,"115 N. Brown St., Suite 200, Greenville SC 29601",dillardjones.com,Tom Dillard,President,tom@dillardjones.com,Boutique luxury; founded 2003,Part of 'Luxe Brands Collective' with DOMA Architecture and Tribus Interior Design. Approved Hartness Builder's Guild member. Also builds in Asheville and Charleston. Top luxury builder in Upstate.
MEDIUM,Milestone Custom Homes,Greenville (Hartness + Greenville County),Custom Luxury,"Hartness (Greenville, 700-home master-planned community), general Greenville County custom lots",$700K–$1.5M+,Via milestone.build/contact,"2000 Society St, Suite 102, Greenville SC 29615 (Hartness)",milestone.build,Chris Rogers; Jerry Fay,Founders,Via milestone.build/contact,Boutique luxury; 25+ yrs in Greenville,Approved Hartness Builder's Guild member. Built Hartness welcome center and model home. 700 planned homes at Hartness = long pipeline. Also does build-on-lot.
MEDIUM,Hollison Custom Homes,Greenville (Hartness / Greer / Mauldin / Simpsonville / Taylors / Travelers Rest),Custom Luxury,"Hartness (Greenville), general Greenville County",$600K–$1.5M+,(864) 527-6819,"31 Boland Court, Greenville SC 29615",hollisonhomes.com,Scott Lynch,Owner / Director,Via hollisonhomes.com/contact-us,Boutique luxury; ~30 yrs,Approved Hartness Builder's Guild member. Scott Lynch personally guides clients through entire process. Broad Greenville County coverage.
MEDIUM,Stoneledge Luxury Homes,Greenville (Hartness / Greer area),Custom Luxury,"Hartness (Greenville), design/build throughout Greenville County",$700K–$2M+,(864) 918-6844,"105 Regency Commons Dr, Greer SC 29651 (by appt)",stoneledge.life,Jackson,Partner/Contact,jackson@stoneledgeproperties.com,Boutique luxury; 30+ yrs,Approved Hartness Builder's Guild member. 30+ years experience. Design/build firm. BBB accredited since 2012.
MEDIUM,Cottage Group,Greenville / Pickens (Hartness / The Cliffs / Lake Keowee),Custom,"Hartness (Greenville), The Cliffs communities, The Reserve at Lake Keowee",$500K–$1.5M+,Via website (no public number),"122 N. Laurens St, Greenville SC 29601",cottagegroup.com,Principal Team,,Via cottagegroup.com,Boutique custom,Hartness Builder's Guild member (one of 6 approved). Southern Living house plans portfolio. 2,000–3,500 sq ft focus. Smart-sized luxury.
MEDIUM,Bluestone Construction LLC,Greenville / Western NC,Custom Luxury,Custom luxury builds in Greenville, Simpsonville, Travelers Rest, Piedmont, Easley, Greer; also Asheville NC,$700K–$3M+,(864) 900-3799,"135 Rockwood Dr, Greenville SC 29605",bluestoneconstruction.com,Kevin Reed,Founder,info@bluestoneconstruction.com,Boutique luxury; 30+ yrs,2025 International Property Awards winner. 2025 NAHB Best in American Living Award. Founder has engineering background. Exceptional reputation.
LOW,Dwelling Group LLC,Greenville,Custom Luxury,"The Cliffs at Lake Keowee, Greenville, Simpsonville; Five Forks, Travelers Rest, Six Mile, Seneca",$500K+ (custom),Via website,,dwellinggroupsc.com,Winston Hathaway; Worth Hathaway,Partners,Via dwellinggroupsc.com,~13 homes/yr; 130+ in last decade,130+ homes built in Greenville area. Luxury focus. Services include design, architecture, structural engineering. Strong downtown Greenville custom builds.
LOW,Middlehouse Builders Inc.,Greenville (Taylors),Custom,"Hillside Homes (Taylors, from $350K including lot), custom lots in Greenville/Spartanburg counties",$350K+ (custom),(864) 444-1214,"4175 Sandy Flat Rd, Taylors SC 29687",middlehousebuilders.com,Jon Seppala; Tavi Keskitalo,Custom Home Specialist / President,jon@middlehousebuilders.com,Small custom builder,Serves Taylors/Greer/Travelers Rest. Also does home additions/remodels. Personal attention.
LOW,Red Clay Construction LLC,Greenville (Simpsonville / Greer / Mauldin / Travelers Rest),Custom,Custom builds in Simpsonville and surrounding area,~$400K+,(864) 378-1024,,redclayconstructionllc.com,Owner,,Via redclayconstructionllc.com/contact-us,Small custom builder,HBA of Greenville member. Also does full home remodels and outdoor living. Strong in Simpsonville specifically.
LOW,Nunley Custom Homes,Greenville,Custom Luxury,Custom builds in Greenville, Greer, Simpsonville, Travelers Rest, Fountain Inn, Taylors,$500K+ (custom); remodels $150–$300/sqft,(864) 380-0724,,nunleycustomhomes.net,Joseph A. Nunley,Owner,Josephanunley@gmail.com,Small luxury custom; 34+ yrs,34+ years in business. Design-build specialty. Serves Hartness, Tigerville, Paris Mountain area.
LOW,Machen Custom Homes,Greenville (Simpsonville / Fountain Inn / Mauldin / Greer),Custom,Custom builds in Simpsonville and surrounding area,~$350K+,(864) 346-5479,,machencustomhomes.com,Machen H. White,Owner,Via machencustomhomes.com,Small custom builder,Fully licensed, bonded, insured. Primary focus is Simpsonville — one of Greenville County's fastest-growing areas.
LOW,DRS Custom Homes LLC,Greenville / Spartanburg,Custom,Custom builds in Fountain Inn, Simpsonville, and surrounding Spartanburg/Greenville counties,~$300K+,(864) 444-2948,,drscustomhomesllc.com,Owner,,Via drscustomhomesllc.com,Small custom builder,Serves both Greenville and Spartanburg counties. Free estimates. Focus on making custom process easy.
LOW,Oasis Custom Homes Inc.,Greenville (Greer / Taylors / The Cliffs),Custom Luxury,"The Cliffs Communities, Greenville County custom lots",$600K+ (Cliffs focus),(864) 292-5901,"419 The Pkwy, Suite 133, Greer SC 29650",oasiscustomhomes.com,Gary J. Turgeon; Josh D. Carter,Partners,Via oasiscustomhomes.com,Boutique custom; est. 2000,Top 2% of SC licensed contractors (BuildZoom score 116). Specializes in The Cliffs Communities, horse farms, retirement homes, mountain retreats.
LOW,Copper Builders,Greenville (North Main / Downtown Greenville),Custom / Infill Luxury,"McNeil Court (North Main townhomes), first builder at County Square / downtown Greenville redevelopment",$600K+ (luxury infill),Via copperbuilders.com/contact-us,"Model: 611 N Academy St, Greenville SC; HQ: Charlotte NC",copperbuilders.com/greenville-sc,Sales Team,,Via copperbuilders.com/contact-us,Boutique; expanding into Greenville,First Greenville project in North Main. Also confirmed for County Square redevelopment (major multi-year project). Premium finishes.
LOW,Estep Builders,Spartanburg / Greenville / Cherokee,Custom,Custom homes and garages throughout area,From ~$150/sqft,(864) 597-9055,,estepbuilders.com,Owner,,Via estepbuilders.com,Small custom; 10+ yrs,Licensed insured locally owned. Custom homes and garage specialty.
LOW,Build On Your Land LLC,Spartanburg / Upstate SC region,Custom (build-on-lot),Build-on-your-lot throughout Spartanburg and Upstate SC,Varies,(803) 721-4676 (Spartanburg),,buildonyourlandllc.com,Owner / Sales Team,,Via buildonyourlandllc.com/contact-us,50+ yrs collective exp; est. 2019,Specializes in build-on-your-lot. Guaranteed price consistency through entire build. Columbia HQ with Spartanburg coverage.
RESOURCE,HBA of Greenville Member Directory,Greenville,Association,Full member directory of all active builders in Greenville County,(864) 254-0133,,hbaofgreenville.com,Membership Director,,members.hbaofgreenville.com/directory,,Use to find additional builders not in this list. Request full member list.
RESOURCE,HBA of Greater Spartanburg,Spartanburg,Association,Full member directory of all active builders in Spartanburg County,,,hbaspartanburg.com,Membership Director,,,Use to find additional Spartanburg County builders.
RESOURCE,NewHomeSource Greenville / Spartanburg,Statewide,Listing Aggregator,All new construction communities with builder contact info,,,newhomesource.com/communities/sc/greenville-spartanburg-area,,,,,Full list of active new home communities with direct sales center phone numbers. Updated regularly.
